2017-03-21 09:40:25,070 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org:socialnetworking:0.0.1-SNAPSHOT @ C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\pom.xml.
2017-03-21 09:40:40,203 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:40:40,221 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 09:40:40,229 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:40:40,232 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 09:40:43,993 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:40:44,006 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 09:40:44,009 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:40:44,011 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 09:41:54,196 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:41:54,200 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 09:41:54,203 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 09:41:54,205 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:03:57,205 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-03-21 10:04:09,818 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking
2017-03-21 10:04:09,819 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean compile install
2017-03-21 10:05:59,058 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:05:59,061 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 10:05:59,066 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:05:59,069 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:06:13,468 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:06:13,473 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 10:06:13,477 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:06:13,483 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:06:14,627 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:06:14,630 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 10:06:14,633 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:06:14,636 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:07:23,573 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-03-21 10:07:44,431 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking
2017-03-21 10:07:44,433 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean compile install
2017-03-21 10:09:44,477 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:09:44,483 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 10:09:44,487 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:09:44,490 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:09:54,968 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:09:54,972 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-21 10:09:54,976 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-21 10:09:54,979 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\src\test\resources
2017-03-21 10:10:12,183 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-21 10:10:15,328 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org:socialnetworking:0.0.1-SNAPSHOT @ C:\Users\admin\Desktop\Project_Workspace_Collab\socialnetworking\pom.xml.
2017-03-21 10:10:22,180 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socialnetworking/src/main/java
2017-03-21 10:10:22,182 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /socialnetworking/src/main/resources
2017-03-21 10:10:22,184 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socialnetworking/src/test/java
2017-03-21 10:10:26,291 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for socialnetworking
2017-03-21 10:10:26,324 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 14 sec
